"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\01 template.prototyping\template.prototyping.kicad_sch"
"Date:","3/29/2023 11:13:32 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","194"

"Individual Components:"

"","","J154","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J155","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J156","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J157","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J158","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J159","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J160","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J161","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J162","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J163","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J164","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J165","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J166","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J167","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J168","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J169","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J170","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J171","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J172","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J173","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J174","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J175","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J176","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J177","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J178","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J179","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J180","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
